index,height,lat,long,rotation,width,arousal,contrast,dominance,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,pleasure,symmetry,day,hour
1,680,0.0,0.0,0,1024,-0.10352382345671715,1.7113873571908567,0.5077795926864302,93720.19646740444,200451.9491159914,92942.1441447432,0.4510089995149076,8.222497181923652,5,11
10,687,33.856375,-115.467681,0,1024,-0.006553425997238238,1.7428209682376932,0.4719351366509987,188891.33575594903,195364.77479279623,208591.63322146935,0.41051582587637525,5.674936099434719,30,10
100,2592,0.0,0.0,0,3872,0.05997715428521269,3.746412635941141,0.2972767993117099,40024.25823658558,123079.58714750387,184810.9176362575,0.2523993104438385,12.757868391564953,5,15
1000,687,33.856375,-115.467681,0,1024,0.1055854279198577,2.9012000096984236,0.43507571584058646,104701.519095952,84797.51651221869,228693.2241686812,0.3676767493548746,8.738315888617294,30,12
1001,2589,0.58558,37.587836,0,5081,-0.13586260185381438,1.3005559347958355,0.6710528060667732,64414.68861602918,117208.6822016185,163727.87877654395,0.5959364166872522,9.416598958000622,14,11
1002,768,39.750819,-104.950182,0,1024,0.014940692877575101,2.0756180944947484,0.48941920021121577,121393.86537355722,146497.54950387395,63216.979886736124,0.42362593156269845,8.518690929041718,30,12
1003,1536,0.0,0.0,0,2048,-0.08646133084685248,1.8698398624490085,0.42596214938204036,40853.90523152795,200011.56345231642,59862.61131958746,0.3783020096639249,8.507892163168599,14,17
1004,2336,33.452919,-111.955017,0,3504,0.00024358288392506422,2.262866880259605,0.4511824573371822,98962.9646688879,147423.9153225826,17006.694707934545,0.3918355995774691,8.796842491437697,13,14
1005,2048,0.0,0.0,0,3072,0.01935682974996218,2.607739539465087,0.3744959330426721,108735.51047253248,150583.16218701215,154078.86226936587,0.32338691073230996,8.222748696824588,4,9
1006,1536,0.0,0.0,0,2048,0.02652599379970988,2.675588771597411,0.3979873478529265,114071.41351144905,165319.84158545517,131873.49743598976,0.34309745293050553,8.78159377335023,14,13
1007,681,0.0,0.0,0,1024,0.102493232095792,1.7104585518816078,0.6629165772678618,123050.74528827527,78561.6634940987,142314.78559868614,0.5658586749247632,6.724387831932246,30,14
1008,398,0.0,0.0,0,600,-0.048495394152530596,2.370691913213483,0.37019131210278666,19301.903088383107,69451.49443748493,34876.89851463286,0.32619885414722505,13.582704182182644,20,8
1009,3635,50.11484,8.700978,0,2580,0.031113997158398743,2.0480564272014083,0.5203506325207419,150654.44212243537,188120.8832539333,94124.20197566382,0.4489289710983637,13.182844253671318,23,13
101,1536,0.0,0.0,0,2048,0.09439009815326599,3.0596808708405656,0.37148017610323814,79368.65108256954,122497.27441473953,206344.28468137098,0.3135238322333688,12.812605551595606,13,15
1010,683,0.0,0.0,0,1024,-0.03963889065847681,2.026007847099003,0.48171768836026413,72915.89808623509,152729.34598773086,150342.06600135425,0.4222062569643618,10.237807276660225,13,9
1011,2112,0.0,0.0,0,2816,-0.027352919151613336,2.064080845484168,0.46003954583957896,143733.00596998126,167760.75053551712,66007.56172338642,0.40219233694231166,9.281013267582184,3,11
1012,2001,0.0,0.0,0,2669,-0.0959806518451352,1.2690863703779216,0.4978376898527718,16768.691570900814,168912.8964509223,148175.16133954434,0.4416460680581876,7.078652302525044,12,11
1013,687,33.856375,-115.467681,0,1024,-0.10164432678754871,1.7071263490515345,0.5104354465410512,94196.94114548872,209945.00972930985,90488.03406344214,0.4531342007166922,12.057436288979941,30,13
1014,4608,0.0,0.0,0,3072,0.028910100256325538,2.289765217521703,0.4244135976744108,71555.44921985715,108758.08135968563,219904.06379500031,0.3658189038632237,8.482822517536421,4,12
1015,687,33.856375,-115.467681,0,1024,-0.082254170243068,2.047180111349068,0.39362845009511205,64020.43227881757,191969.44242727803,100889.59930868328,0.3498135125376287,13.486820466519136,30,10
1016,2112,0.0,0.0,0,2816,-0.07738362200811685,1.9323434301639963,0.4575009806078749,88520.2659385597,230923.64950138822,27758.522403038674,0.4048176062477527,10.205706154011226,3,11
1017,687,33.856375,-115.467681,0,1024,0.02924893629353753,1.7488990361425516,0.5372788688484477,154348.09674131608,98715.8912690353,123759.13122136348,0.4638114689722403,9.320525439355537,30,10
1018,1000,43.822142,-79.18353,0,1147,0.14041149969883931,2.267237377960501,0.5460031294729143,126259.29215793277,28884.560821310748,147712.51507423315,0.4606567951152404,7.300294642731185,17,0
1019,4608,0.0,0.0,0,3072,0.02308390275670831,3.220860607578911,0.31108739102404404,46786.023095103475,153555.3081421805,140920.49225321662,0.26795576866720905,8.848806486670284,6,10
102,2285,0.0,0.0,0,2121,0.06628476156502466,2.1796981807377502,0.4947920724353753,115138.17176766357,119708.6382152934,263246.63268628274,0.4233355081204119,8.153180105034208,10,14
1020,2388,0.0,0.0,0,3567,-0.09022541288452325,1.6607759399571604,0.5542445804324377,138458.342747517,190199.20356762802,168482.6098134628,0.49008072553157767,9.927968012705888,28,9
1021,680,50.990097,-1.306085,0,1024,0.06242060456477075,1.6820688030642328,0.6584928933117312,170721.79338880227,178295.20047045575,171837.59005202816,0.5658853183541879,7.227598700738605,21,12
1022,683,34.150525,-118.284451,0,1024,-0.07620165727191186,1.48730463010898,0.6397502871795039,113050.9261294317,149524.5768823306,172357.43206552544,0.5629899086954814,9.064372121703602,27,11
1023,611,-1.50278,35.174045,0,1024,0.0449668383002447,2.6419205608369793,0.4058729838719424,48020.332891969374,95507.69734508313,86811.178267676,0.34816594072434703,6.92021282461879,15,1
1024,1536,0.0,0.0,0,2048,-0.0216860261267372,1.8554911606081832,0.5143772612681801,124826.33397244349,177949.94787366476,59432.238995346626,0.44883841207476494,9.146532047158507,24,14
1025,3072,0.0,0.0,0,4608,0.00736520400267178,2.622798032864888,0.37233109513383006,82794.0180813539,147136.36807343044,126228.98553642724,0.32266440767109084,8.168686681048625,6,10
1026,3072,0.0,0.0,0,4608,-0.035946001965414046,2.5901893119278965,0.33841945651788036,83520.36546389283,163530.08561680632,147620.24358543183,0.2973929532389555,6.855219319871444,4,12
1027,1024,49.153166,-122.573518,0,1024,0.16873206495770732,2.8745216140025533,0.4958896319420483,227722.9367668576,169521.44252736878,77412.17617116544,0.41439831023184903,10.887406202135292,12,15
1028,1333,35.65146,139.401535,0,2000,-0.0007391526135327731,2.3937168886060745,0.43209537314330465,82482.58702632668,145324.54665829858,99083.71815568669,0.3753530394628726,6.8811997696366936,10,10
1029,3600,0.0,0.0,0,2023,-0.06642336275326412,1.8227043208728944,0.49214426990186844,82515.17209916947,140961.4317109471,52954.39694890522,0.43384772908907765,11.298333273182022,15,2
103,1024,33.856375,-115.467681,0,687,-0.05726413338234557,1.7448709324661555,0.5449291709938061,125177.1896260124,139500.32201625916,116008.0521458173,0.47880800396705153,11.106623667260685,30,14
