GID,SHARE,NOT_SHARE,TOTAL
8,16,4,20
10,8,12,20
12,11,9,20
16,18,2,20
19,19,1,20
24,4,16,20
33,14,6,20
34,15,5,20
37,11,9,20
50,15,5,20
69,14,6,20
79,13,7,20
80,8,12,20
84,8,12,20
85,15,5,20
90,14,6,20
91,4,16,20
97,17,3,20
99,7,13,20
101,8,12,20
474,10,10,20
481,8,12,20
483,16,4,20
499,19,1,20
504,11,9,20
513,14,6,20
536,14,6,20
537,16,4,20
542,18,2,20
549,18,2,20
586,16,4,20
592,8,12,20
597,15,5,20
612,14,6,20
619,5,15,20
624,11,9,20
627,6,14,20
635,11,9,20
636,15,5,20
637,17,3,20
803,4,16,20
815,12,8,20
821,18,2,20
824,13,7,20
825,17,3,20
826,14,6,20
833,9,11,20
845,5,15,20
857,7,13,20
864,12,8,20
870,14,6,20
878,17,3,20
890,15,5,20
892,18,2,20
900,19,1,20
904,6,14,20
905,1,19,20
910,1,19,20
915,17,3,20
926,20,0,20
1480,15,5,20
1497,19,1,20
1508,16,4,20
1509,7,13,20
1519,17,3,20
1522,17,3,20
1540,14,6,20
1554,12,8,20
1570,13,7,20
1594,17,3,20
1631,14,6,20
1634,11,9,20
1647,16,4,20
1649,13,7,20
1652,13,7,20
1692,17,3,20
1711,16,4,20
1712,20,0,20
1715,17,3,20
1717,18,2,20
3068,14,6,20
3074,10,10,20
3084,14,6,20
3085,14,6,20
3089,15,5,20
3103,13,7,20
3107,11,9,20
3110,16,4,20
3112,7,13,20
3114,11,9,20
3115,14,6,20
3124,14,6,20
3125,15,5,20
3127,18,2,20
3131,20,0,20
3132,14,6,20
3135,19,1,20
3137,16,4,20
3138,17,3,20
3153,18,2,20
