ANNOTATION_ID,NID,NAME,SPECIES,SEX,AGE_MONTHS,EXEMPLAR_FLAG,IMAGE_QUALITY,IMAGE_YAW
14337,1715,IBEIS_PZ_1442,zebra_plains,Male,adult,0,ok,front,"NNP GZC Car '1PURPLE', Person 'B'"
12299,607,IBEIS_PZ_0334,zebra_plains,Female,adult,0,ok,backleft,"NNP GZC Car '1BLUE', Person 'B'"
12300,1702,IBEIS_PZ_1429,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1BLUE', Person 'B'"
18434,-18434,____,zebra_plains,UNKNOWN NAME,infant,0,poor,left,"NNP GZC Car '2RED', Person 'C'"
12303,696,IBEIS_PZ_0423,zebra_plains,Female,juveniles - one year old,0,good,left,"NNP GZC Car '1BLUE', Person 'B'"
12304,1381,IBEIS_PZ_1108,zebra_plains,UNKNOWN SEX,infant,0,good,backleft,"NNP GZC Car '1BLUE', Person 'B'"
12305,681,IBEIS_PZ_0408,zebra_plains,Female,juveniles - one year old,0,ok,left,"NNP GZC Car '1BLUE', Person 'B'"
12306,1697,IBEIS_PZ_1424,zebra_plains,Female,adult,0,ok,left,"NNP GZC Car '1BLUE', Person 'B'"
12309,1713,IBEIS_PZ_1440,zebra_plains,Male,adult,1,excellent,left,"NNP GZC Car '1BLUE', Person 'B'"
12310,-12310,____,zebra_plains,UNKNOWN NAME,infant,0,poor,left,"NNP GZC Car '1BLUE', Person 'B'"
13367,-13367,____,zebra_plains,UNKNOWN NAME,infant,0,ok,right,"NNP GZC Car '17WHITE', Person 'A'"
12975,-12975,____,zebra_plains,UNKNOWN NAME,infant,0,excellent,right,"NNP GZC Car '3WHITE', Person 'A'"
12317,607,IBEIS_PZ_0334,zebra_plains,Female,adult,1,ok,left,"NNP GZC Car '1BLUE', Person 'B'"
12318,606,IBEIS_PZ_0333,zebra_plains,Male,adult,1,excellent,left,"NNP GZC Car '1BLUE', Person 'B'"
12319,-12319,____,zebra_plains,UNKNOWN NAME,infant,0,poor,left,"NNP GZC Car '1BLUE', Person 'B'"
12320,1378,IBEIS_PZ_1105,zebra_plains,UNKNOWN SEX,infant,1,excellent,left,"NNP GZC Car '1BLUE', Person 'A'"
12321,1683,IBEIS_PZ_1410,zebra_plains,Male,adult,1,ok,left,"NNP GZC Car '1BLUE', Person 'A'"
16419,1548,IBEIS_PZ_1275,zebra_plains,Male,adult,0,good,left,"NNP GZC Car '8WHITE', Person 'A'"
16420,-16420,____,zebra_plains,UNKNOWN NAME,infant,0,ok,right,"NNP GZC Car '8WHITE', Person 'A'"
