GID,ANNOTATION_ID
3459,[]
5284,[]
5017,[9559]
353,[13271]
3305,[8891]
1740,"[14083, 14084]"
3343,[8837]
5708,[9274]
7929,"[10376, 10377]"
1884,[]
635,"[16165, 16166]"
1172,[13338]
991,[]
2645,[]
302,[]
8063,"[10603, 10604]"
4746,[]
2492,[14310]
5446,[]
159,[15450]
379,[13290]
4584,[18270]
55,[13404]
326,[]
2451,[14091]
431,[16006]
8189,"[10800, 10801]"
4932,[12472]
8077,[10624]
1303,"[12299, 12300]"
5719,[]
1061,[9528]
4993,[9551]
1888,[]
2607,[]
4187,[]
2281,[14731]
537,"[16070, 16071, 16072]"
4279,"[18200, 18201, 18202]"
3375,"[12527, 12528]"
1099,[9415]
5049,"[16003, 16004]"
1309,"[12264, 12265, 12266]"
3380,[12708]
5501,"[12791, 12792]"
7775,[13240]
6962,"[9594, 9595, 13100, 13101]"
2399,[]
4994,[12996]
360,[13310]
4,[13399]
5534,[]
4763,[]
4904,"[12476, 12477]"
4319,[]
3208,[12689]
4592,[18306]
5687,[]
8353,[9108]
6179,[13786]
4925,[12487]
8038,"[10543, 10544]"
1176,"[13360, 13361]"
7725,[9777]
2525,[]
4986,[]
4926,[12442]
4939,[12463]
812,[15866]
3100,[]
3358,[12505]
896,"[9432, 9433]"
5364,[]
563,"[16035, 16036]"
5676,[13832]
675,[]
8121,"[10694, 10695, 10696]"
5458,"[9892, 9893]"
3220,[]
620,"[15931, 15932]"
340,[]
514,[9376]
386,[13324]
965,[15876]
6138,[13521]
2032,[]
7703,"[9780, 9781]"
551,[15415]
7754,[]
5186,[14451]
6675,[]
5174,"[16203, 16204]"
453,[]
5134,[14453]
3069,[12711]
7874,"[10303, 10304]"
3401,"[12618, 12619]"
8003,"[10478, 10479]"
3226,[12652]
8713,"[11393, 11394, 11395, 11396]"
8320,"[8976, 8977]"
399,[13272]
5704,[]
655,"[14100, 14101]"
580,"[16086, 16087]"
5231,[14526]
1330,"[12309, 12310]"
1087,[]
7270,[13686]
423,[15962]
2537,[]
412,"[16050, 16051]"
2385,[15062]
213,[]
7837,[10228]
983,"[9446, 9447]"
83,[13439]
364,[13285]
282,"[15564, 15565]"
4564,[]
5669,[13859]
4914,[12470]
3097,[12747]
3417,[]
1741,[14444]
565,[15397]
5724,[]
356,[13297]
809,[]
641,[9371]
312,[9218]
642,[9372]
3854,[]
13,[9340]
4854,"[17973, 17974]"
5181,[14525]
