AID,GID,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
17381,6518,infant,"NNP GZC Car '6RED', Person 'B'",0,IBEIS_PZ_1739,2012,ok,UNKNOWN SEX,zebra_plains,left
17382,6518,infant,"NNP GZC Car '6RED', Person 'B'",0,____,-17382,junk,UNKNOWN NAME,zebra_plains,left
13843,5705,infant,"NNP GZC Car '4RED', Person 'A'",0,____,-13843,poor,UNKNOWN NAME,zebra_plains,left
17884,3697,adult,"NNP GZC Car '2RED', Person 'A'",1,IBEIS_PZ_1584,1857,good,Female,zebra_plains,left
17484,6506,infant,"NNP GZC Car '6RED', Person 'B'",0,____,-17484,poor,UNKNOWN NAME,zebra_plains,left
15314,1585,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_0375,648,poor,Female,zebra_plains,left
15315,1585,juveniles - one year old,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_1257,1530,good,Female,zebra_plains,left
15316,1585,adult,"NNP GZC Car '1PURPLE', Person 'A'",1,IBEIS_PZ_1265,1538,excellent,Male,zebra_plains,left
12073,9300,juveniles - one year old,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0108,381,ok,Female,zebra_plains,left
12074,9300,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0104,377,ok,Male,zebra_plains,left
11497,8785,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0083,356,good,Male,zebra_plains,frontleft
9444,880,infant,"NNP GZC Car '15WHITE', Person 'A'",0,____,-9444,good,UNKNOWN NAME,giraffe_masai,frontright
9350,437,adult,"NNP GZC Car '13WHITE', Person 'A'",1,NNP_GIRM_0046,60,good,Male,giraffe_masai,left
11798,8984,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0611,884,ok,UNKNOWN SEX,zebra_plains,left
11799,8984,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0594,867,ok,UNKNOWN SEX,zebra_plains,frontleft
8933,3307,unknown,"NNP GZC Car '1WHITE', Person 'C'",0,NNP_GIRM_0060,80,poor,UNKNOWN SEX,giraffe_masai,left
8934,3307,unknown,"NNP GZC Car '1WHITE', Person 'C'",0,NNP_GIRM_0060,80,poor,UNKNOWN SEX,giraffe_masai,right
8935,3307,infant,"NNP GZC Car '1WHITE', Person 'C'",0,____,-8935,poor,UNKNOWN NAME,giraffe_masai,right
12207,3542,adult,"NNP GZC Car '25PURPLE', Person 'A'",0,IBEIS_PZ_0795,1068,ok,UNKNOWN SEX,zebra_plains,backleft
11742,8941,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0557,830,poor,UNKNOWN SEX,zebra_plains,left
9594,6962,infant,"NNP GZC Car '6WHITE', Person 'B'",0,____,-9594,poor,UNKNOWN NAME,giraffe_masai,frontleft
9595,6962,infant,"NNP GZC Car '6WHITE', Person 'B'",0,____,-9595,poor,UNKNOWN NAME,giraffe_masai,frontleft
13100,6962,adult,"NNP GZC Car '6WHITE', Person 'B'",0,IBEIS_PZ_0875,1148,poor,Male,zebra_plains,left
13101,6962,juveniles- two year old,"NNP GZC Car '6WHITE', Person 'B'",0,IBEIS_PZ_1026,1299,junk,Female,zebra_plains,backleft
11741,8942,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0572,845,ok,Female,zebra_plains,left
15125,1825,infant,"NNP GZC Car '1PURPLE', Person 'B'",1,IBEIS_PZ_0454,727,good,Female,zebra_plains,left
9465,892,infant,"NNP GZC Car '15WHITE', Person 'A'",0,____,-9465,ok,UNKNOWN NAME,giraffe_masai,front
13830,5701,infant,"NNP GZC Car '4RED', Person 'A'",0,____,-13830,poor,UNKNOWN NAME,zebra_plains,left
12270,1468,adult,"NNP GZC Car '1BLUE', Person 'D'",1,IBEIS_PZ_1421,1694,excellent,Male,zebra_plains,left
