GID,AGE,INDIVIDUAL_NAME,QUALITY,SEX,SPECIES,VIEW_POINT,CONTRIBUTOR,tags
1,infant,____,excellent,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',['animal']
2,infant,____,good,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'grassy']"
3,infant,____,excellent,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'standing', 'grassy', 'open']"
4,infant,____,good,UNKNOWN NAME,zebra_plains,backleft,NNP GZC Car '10WHITE' Person 'A',"['zebra', 'grass', 'outdoor', 'animal', 'standing', 'mammal', 'field']"
5,adult,IBEIS_PZ_1561,excellent,Male,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'sky', 'grassy', 'standing', 'brown', 'tall', 'dry', 'open', 'wild']"
6,adult,IBEIS_PZ_1561,excellent,Male,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'animal', 'field', 'sky', 'mammal', 'zebra', 'standing', 'grassy', 'brown', 'tall', 'dry']"
7,adult,IBEIS_PZ_1561,excellent,Male,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'sky', 'field', 'mammal', 'grassy', 'standing', 'brown', 'open', 'tall', 'dry']"
8,adult,IBEIS_PZ_1563,excellent,Male,zebra_plains,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'standing', 'grassy']"
9,infant,____,junk,UNKNOWN NAME,giraffe_masai,backleft,NNP GZC Car '10WHITE' Person 'A',"['grass', 'outdoor', 'sky', 'field', 'mountain', 'animal', 'tall', 'dry', 'brown', 'mammal', 'grassy', 'plain', 'open']"
10,adult,NNP_GIRM_0140,ok,Female,giraffe_masai,left,NNP GZC Car '10WHITE' Person 'A',"['grass', 'giraffe', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'standing', 'walking', 'grassy', 'dry', 'group', 'deer', 'tall', 'wild', 'open']"
