,,Share Proportion
-9517,photo_album_90,100.0
-16168,photo_album_20,100.0
-16149,photo_album_32,100.0
2053,photo_album_45,100.0
169,photo_album_4,100.0
1261,photo_album_13,100.0
379,photo_album_30,100.0
984,photo_album_46,100.0
169,photo_album_86,100.0
8,photo_album_61,100.0
868,photo_album_68,100.0
1699,photo_album_15,100.0
1174,photo_album_18,100.0
1971,photo_album_54,100.0
1154,photo_album_13,100.0
1941,photo_album_21,100.0
1701,photo_album_15,100.0
1145,photo_album_18,100.0
1143,photo_album_13,100.0
473,photo_album_16,100.0
-15392,photo_album_10,100.0
114,photo_album_84,100.0
-15401,photo_album_20,100.0
1939,photo_album_79,100.0
1713,photo_album_15,100.0
995,photo_album_15,100.0
1935,photo_album_79,100.0
487,photo_album_13,100.0
-9167,photo_album_1,100.0
-16167,photo_album_20,100.0
1269,photo_album_19,100.0
-9516,photo_album_90,100.0
2068,photo_album_45,100.0
1558,photo_album_70,100.0
2178,photo_album_15,100.0
1548,photo_album_12,100.0
2169,photo_album_9,100.0
234,photo_album_29,100.0
2165,photo_album_9,100.0
253,photo_album_41,100.0
-17363,photo_album_66,100.0
1500,photo_album_9,100.0
-17783,photo_album_66,100.0
-17784,photo_album_66,100.0
2139,photo_album_24,100.0
1386,photo_album_15,100.0
157,photo_album_25,100.0
1375,photo_album_15,100.0
157,photo_album_76,100.0
-13429,photo_album_85,100.0
-13429,photo_album_8,100.0
286,photo_album_16,100.0
2098,photo_album_64,100.0
1838,photo_album_36,100.0
2084,photo_album_45,100.0
310,photo_album_16,100.0
132,photo_album_28,100.0
-16170,photo_album_20,100.0
-16169,photo_album_20,100.0
1278,photo_album_38,100.0
-9167,photo_album_14,100.0
1138,photo_album_18,100.0
-9683,photo_album_89,100.0
-9440,photo_album_29,100.0
-12393,photo_album_89,100.0
-12394,photo_album_15,100.0
-12394,photo_album_89,100.0
-9692,photo_album_15,100.0
-9389,photo_album_36,100.0
-9691,photo_album_15,100.0
-9390,photo_album_36,100.0
-9433,photo_album_50,100.0
-9690,photo_album_15,100.0
-9399,photo_album_20,100.0
-9432,photo_album_50,100.0
-9684,photo_album_89,100.0
-9684,photo_album_15,100.0
628,photo_album_9,100.0
-9682,photo_album_89,100.0
-9683,photo_album_15,100.0
-15978,photo_album_36,100.0
64,photo_album_11,100.0
-15975,photo_album_36,100.0
-15977,photo_album_36,100.0
64,photo_album_55,100.0
64,photo_album_67,100.0
-15976,photo_album_36,100.0
646,photo_album_78,100.0
-12393,photo_album_15,100.0
-9236,photo_album_25,100.0
-13289,photo_album_19,100.0
-12310,photo_album_15,100.0
-9253,photo_album_27,100.0
-9681,photo_album_15,100.0
676,photo_album_68,100.0
1744,photo_album_4,100.0
1744,photo_album_91,100.0
-9479,photo_album_50,100.0
-9341,photo_album_10,100.0
1753,photo_album_46,100.0
-9681,photo_album_89,100.0
-9682,photo_album_15,100.0
-16028,photo_album_64,100.0
-9271,photo_album_24,100.0
115,photo_album_42,95.0
234,photo_album_50,95.0
92,photo_album_98,90.0
-15943,photo_album_32,90.0
1646,photo_album_90,90.0
92,photo_album_6,90.0
1829,photo_album_97,90.0
2169,photo_album_70,90.0
-16420,photo_album_87,90.0
1843,photo_album_59,90.0
1566,photo_album_76,90.0
1567,photo_album_9,90.0
1814,photo_album_31,90.0
-14168,photo_album_70,90.0
1648,photo_album_50,90.0
172,photo_album_19,90.0
1657,photo_album_83,90.0
1658,photo_album_50,90.0
172,photo_album_46,90.0
-15415,photo_album_28,90.0
172,photo_album_82,90.0
1910,photo_album_79,90.0
-15427,photo_album_72,90.0
-15392,photo_album_72,90.0
1555,photo_album_9,90.0
-16021,photo_album_36,90.0
-16020,photo_album_36,90.0
768,photo_album_86,90.0
-16078,photo_album_10,90.0
-15578,photo_album_83,90.0
1971,photo_album_25,90.0
1757,photo_album_46,90.0
90,photo_album_49,90.0
-16079,photo_album_10,90.0
-15982,photo_album_10,90.0
1985,photo_album_77,90.0
-15981,photo_album_10,90.0
1989,photo_album_79,90.0
1998,photo_album_41,90.0
2015,photo_album_45,90.0
1688,photo_album_75,90.0
1715,photo_album_54,90.0
-15613,photo_album_29,90.0
1851,photo_album_20,90.0
1663,photo_album_86,90.0
2181,photo_album_75,90.0
792,photo_album_71,90.0
-17078,photo_album_79,90.0
-8984,photo_album_67,90.0
995,photo_album_46,90.0
-9246,photo_album_71,90.0
-9230,photo_album_97,90.0
51,photo_album_38,90.0
1121,photo_album_51,90.0
-13293,photo_album_82,90.0
1121,photo_album_58,90.0
1131,photo_album_51,90.0
-13303,photo_album_46,90.0
-9167,photo_album_82,90.0
-9133,photo_album_13,90.0
479,photo_album_47,90.0
1131,photo_album_58,90.0
1135,photo_album_92,90.0
-9074,photo_album_6,90.0
-13311,photo_album_46,90.0
712,photo_album_73,90.0
105,photo_album_95,90.0
1027,photo_album_46,90.0
-9307,photo_album_31,90.0
-9418,photo_album_50,90.0
-10048,photo_album_66,90.0
-9448,photo_album_29,90.0
674,photo_album_52,90.0
657,photo_album_78,90.0
-9422,photo_album_48,90.0
64,photo_album_80,90.0
-9419,photo_album_50,90.0
683,photo_album_76,90.0
-9325,photo_album_85,90.0
-9415,photo_album_29,90.0
-9349,photo_album_59,90.0
-9348,photo_album_59,90.0
-9347,photo_album_59,90.0
-13271,photo_album_82,90.0
-9344,photo_album_72,90.0
-9341,photo_album_72,90.0
-13314,photo_album_14,90.0
1156,photo_album_84,90.0
1364,photo_album_27,90.0
-18200,photo_album_99,90.0
721,photo_album_94,90.0
294,photo_album_88,90.0
1366,photo_album_27,90.0
-18202,photo_album_99,90.0
286,photo_album_88,90.0
-18201,photo_album_99,90.0
284,photo_album_47,90.0
273,photo_album_89,90.0
135,photo_album_15,90.0
1489,photo_album_9,90.0
