index,Proportion,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,has_zebra
10,20.0,-0.06772407549484813,1.473800026113095,0.5008729949361279,4000,105718.83150313805,140170.63077406766,133192.9285218334,-1.367088,36.781978,1,0.4415543382649942,11.42508376899308,6000,1,15,0
1000,90.0,0.026791621179123055,2.298800008656479,0.4469578115985179,3072,100418.69089992935,106270.09035283633,146867.86104598318,-1.349683,36.806025,1,0.38560343274064185,10.86745507893807,4608,1,17,1
1005,80.0,-0.049412014597911336,1.7569334507225962,0.5570195757403317,3072,102427.15156908132,140822.72905749275,132426.32639656245,-1.349651,36.806162,1,0.4885506545468947,12.629948574317634,4608,1,17,1
1012,50.0,0.037851773101602926,1.6543228895920772,0.5344674502215125,3072,115421.17145360385,91823.2056356126,137036.83617026318,-1.347879,36.811986,1,0.4605391740968434,9.191187869811014,4608,1,17,0
1016,30.0,-0.18980573519591432,0.6588559802502639,0.7729345161433491,3072,94326.47311097538,147757.44436744973,268945.89067485096,-1.347879,36.811986,1,0.6896300632039334,8.083892010070409,4608,1,17,0
1024,10.0,-0.17266166514159126,0.8403337261155206,0.6046088360663353,3072,80929.56772026456,131676.52535664814,111024.07904093998,-1.378441,36.814929,1,0.5417814229156631,12.242562789754016,4608,1,17,1
1041,90.0,-0.06455831058380074,1.4419561759271986,0.5841453746361465,3072,95231.36908982367,117860.9497874508,89286.71711713649,-1.374269,36.800308,1,0.5135720913127548,13.023927103726662,4608,1,18,1
1045,80.0,0.07081774120805967,2.009899727332825,0.5120155503687305,3072,133151.46779659958,114093.31197050947,168757.06219362267,-1.374267,36.800294,1,0.4378567497461272,7.939678602540479,4608,1,18,1
1053,40.0,-0.01564835942114215,1.6549051933774075,0.5598121229043675,3072,100512.92300523132,99355.37740857313,109741.81664960516,-1.374267,36.800294,1,0.4877164224233777,10.920836481788822,4608,1,18,0
1057,44.4444444444,-0.058853978218199876,1.4280212622159247,0.5910396473912302,3072,90828.07752592562,122403.05493409875,112031.93246074485,-1.374267,36.800294,1,0.5190091700370077,12.03798985243922,4608,1,18,0
1060,100.0,-0.1230010916761261,1.3385545677135076,0.6277560014103256,3072,82175.95314966267,145982.46363998658,172315.40334578982,-1.374267,36.800294,1,0.5570907824097612,14.523295082328502,4608,1,18,0
1061,95.0,-0.0987258205320972,1.3926289422431668,0.6084413191358777,3072,83128.88399079801,135235.95502676055,142061.69460093346,-1.374267,36.800294,1,0.5379720966639779,14.013450515863841,4608,1,18,0
1062,100.0,-0.0831696734445358,1.517802266922467,0.5575107817767545,3072,77510.23842621624,141990.7510833012,128188.36825113615,-1.374267,36.800294,1,0.4922362994765456,12.719501313971426,4608,1,18,0
