NID,CONTRIBUTOR,TOTAL
741,"NNP GZC Car '14WHITE', Person 'A'",1
1483,"NNP GZC Car '14WHITE', Person 'A'",2
1137,"NNP GZC Car '12WHITE', Person 'A'",1
1499,"NNP GZC Car '14WHITE', Person 'A'",1
1824,"NNP GZC Car '11WHITE', Person 'A'",5
1828,"NNP GZC Car '13WHITE', Person 'B'",1
1820,"NNP GZC Car '13WHITE', Person 'B'",3
273,"NNP GZC Car '15WHITE', Person 'C'",2
1944,"NNP GZC Car '11WHITE', Person 'A'",3
1375,"NNP GZC Car '11WHITE', Person 'A'",7
1761,"NNP GZC Car '12WHITE', Person 'A'",1
1820,"NNP GZC Car '11WHITE', Person 'A'",3
1028,"NNP GZC Car '11WHITE', Person 'A'",6
1157,"NNP GZC Car '13WHITE', Person 'B'",3
1148,"NNP GZC Car '13WHITE', Person 'B'",5
1638,"NNP GZC Car '14WHITE', Person 'A'",1
290,"NNP GZC Car '11WHITE', Person 'A'",1
792,"NNP GZC Car '15WHITE', Person 'C'",2
1659,"NNP GZC Car '10WHITE', Person 'A'",1
1913,"NNP GZC Car '14WHITE', Person 'A'",1
1639,"NNP GZC Car '14WHITE', Person 'A'",1
1852,"NNP GZC Car '13WHITE', Person 'A'",1
60,"NNP GZC Car '13WHITE', Person 'A'",3
1833,"NNP GZC Car '11WHITE', Person 'A'",1
234,"NNP GZC Car '15WHITE', Person 'B'",7
1660,"NNP GZC Car '11WHITE', Person 'A'",4
1915,"NNP GZC Car '14WHITE', Person 'A'",1
1376,"NNP GZC Car '11WHITE', Person 'A'",3
1753,"NNP GZC Car '12WHITE', Person 'A'",1
1754,"NNP GZC Car '12WHITE', Person 'A'",1
1818,"NNP GZC Car '11WHITE', Person 'A'",5
1853,"NNP GZC Car '13WHITE', Person 'A'",1
234,"NNP GZC Car '15WHITE', Person 'A'",9
1645,"NNP GZC Car '15WHITE', Person 'D'",1
1715,"NNP GZC Car '14WHITE', Person 'A'",1
1027,"NNP GZC Car '12WHITE', Person 'A'",2
1817,"NNP GZC Car '11WHITE', Person 'A'",4
1855,"NNP GZC Car '13WHITE', Person 'B'",1
1551,"NNP GZC Car '14WHITE', Person 'A'",2
1720,"NNP GZC Car '14WHITE', Person 'A'",3
1561,"NNP GZC Car '14WHITE', Person 'A'",1
1178,"NNP GZC Car '11WHITE', Person 'A'",2
1841,"NNP GZC Car '13WHITE', Person 'B'",2
1539,"NNP GZC Car '14WHITE', Person 'A'",1
1985,"NNP GZC Car '14WHITE', Person 'A'",1
1656,"NNP GZC Car '15WHITE', Person 'A'",2
1922,"NNP GZC Car '14WHITE', Person 'A'",1
225,"NNP GZC Car '13WHITE', Person 'B'",1
1764,"NNP GZC Car '11WHITE', Person 'A'",1
290,"NNP GZC Car '13WHITE', Person 'B'",1
1851,"NNP GZC Car '13WHITE', Person 'B'",1
1484,"NNP GZC Car '14WHITE', Person 'A'",1
1845,"NNP GZC Car '13WHITE', Person 'B'",1
1210,"NNP GZC Car '11WHITE', Person 'A'",4
1826,"NNP GZC Car '11WHITE', Person 'A'",4
1652,"NNP GZC Car '15WHITE', Person 'A'",2
1158,"NNP GZC Car '13WHITE', Person 'A'",1
987,"NNP GZC Car '11WHITE', Person 'A'",1
1651,"NNP GZC Car '15WHITE', Person 'A'",8
1656,"NNP GZC Car '15WHITE', Person 'C'",1
1552,"NNP GZC Car '14WHITE', Person 'A'",2
1550,"NNP GZC Car '14WHITE', Person 'A'",2
1835,"NNP GZC Car '10WHITE', Person 'A'",2
1755,"NNP GZC Car '12WHITE', Person 'A'",1
1854,"NNP GZC Car '13WHITE', Person 'B'",1
1928,"NNP GZC Car '14WHITE', Person 'A'",1
789,"NNP GZC Car '11WHITE', Person 'A'",2
1269,"NNP GZC Car '12WHITE', Person 'A'",1
1766,"NNP GZC Car '12WHITE', Person 'A'",1
1306,"NNP GZC Car '12WHITE', Person 'A'",1
1838,"NNP GZC Car '13WHITE', Person 'B'",2
